executive_order_number,title,signing_date,publication_date,citation,html_url,pdf_url,document_number,dispute_found,dispute_count,case_closed,case_closed_count,title_french,key_facts_french,category_french
14147,Ending the Weaponization of the Federal Government,2025-01-20,2025-01-28,90 FR 8235,https://www.federalregister.gov/documents/2025/01/28/2025-01900/ending-the-weaponization-of-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01900.pdf,2025-01900,yes,2,no,0,Mettre fin à l'instrumentalisation du gouvernement fédéral,"Le procureur général, en consultation avec les chefs de tous les départements et agences des États-Unis, doit prendre des mesures appropriées pour examiner les activités de tous les départements et agences exerçant l'autorité d'application civile ou pénale des États-Unis.
Le directeur du renseignement national, en consultation avec les chefs des départements et agences appropriés au sein de la communauté du renseignement, doit prendre toutes les mesures appropriées pour examiner les activités de la communauté du renseignement.
Les départements et agences sont dirigés pour se conformer aux politiques de conservation des documents applicables et aux obligations légales. Les cas de non-conformité avec les politiques de conservation des documents ou les obligations légales seront renvoyés au procureur général.",Etat fédéral
14148,Initial Rescissions of Harmful Executive Orders and Actions,2025-01-20,2025-01-28,90 FR 8237,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01901.pdf,2025-01901,yes,1,no,0,Révocations initiales de décrets et d'actions nuisibles,"L'ordre exécutif vise à révoquer une série d'actions exécutives précédentes, y compris celles liées à l'équité raciale, à la réponse à la COVID-19 et à la lutte contre le changement climatique.
Il est prévu que les chefs d'agence mettent fin à l'implémentation fédérale de l'idéologie DEI jugée ""illégale et radicale"".
Le Directeur du Conseil de Politique Intérieure et le Directeur du Conseil Économique National sont chargés de revoir toutes les actions du gouvernement fédéral prises en vertu des ordres précédents et de prendre les mesures nécessaires pour les révoquer, les remplacer ou les modifier.",Etat fédéral
14149,Restoring Freedom of Speech and Ending Federal Censorship,2025-01-20,2025-01-28,90 FR 8243,https://www.federalregister.gov/documents/2025/01/28/2025-01902/restoring-freedom-of-speech-and-ending-federal-censorship,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01902.pdf,2025-01902,no,0,no,0,Restaurer la liberté d'expression et mettre fin à la censure fédérale,"La politique des États-Unis vise à garantir le droit des citoyens américains à exercer leur liberté d'expression protégée par la Constitution.
Aucun département, agence, entité, officier, employé ou agent fédéral ne peut agir ou utiliser des ressources fédérales d'une manière contraire à cette ordonnance.
Le procureur général, en consultation avec les chefs des départements et agences exécutifs, enquêtera sur les activités du gouvernement fédéral qui sont incompatibles avec les objectifs et les politiques de cette ordonnance.",Etat fédéral
14150,America First Policy Directive to the Secretary of State,2025-01-20,2025-01-29,90 FR 8337,https://www.federalregister.gov/documents/2025/01/29/2025-01952/america-first-policy-directive-to-the-secretary-of-state,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01952.pdf,2025-01952,no,0,no,0,Directive de la politique « America First » au secrétaire d'État,"La politique étrangère des États-Unis défendra désormais en priorité les intérêts fondamentaux américains et mettra toujours l'Amérique et les citoyens américains en premier.
Le Secrétaire d'État est chargé d'émettre des directives pour aligner les politiques, programmes, personnel et opérations du Département d'État sur une politique étrangère ""America First"", qui place l'Amérique et ses intérêts en premier.
Cet ordre exécutif ne doit pas être interprété comme affectant ou limitant l'autorité accordée par la loi à un département ou une agence exécutive, ni les fonctions du Directeur du Bureau de gestion et du budget en matière de propositions budgétaires, administratives ou législatives.",Sécurité nationale
14151,Ending Radical and Wasteful Government DEI Programs and Preferencing,2025-01-20,2025-01-29,90 FR 8339,https://www.federalregister.gov/documents/2025/01/29/2025-01953/ending-radical-and-wasteful-government-dei-programs-and-preferencing,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01953.pdf,2025-01953,yes,9,no,0,Mettre fin aux programmes gouvernementaux radicaux et gaspilleurs de DEI et à la préférence,"Le Directeur du Bureau de la gestion et du budget, assisté par le Procureur général et le Directeur de l'Office de gestion du personnel, coordonnera la fin de tous les programmes discriminatoires, y compris les mandats, politiques, programmes, préférences et activités DEI et DEIA illégaux dans le gouvernement fédéral.
Chaque chef d'agence, de département ou de commission, en consultation avec le Procureur général, le Directeur du Bureau de la gestion et du budget et le Directeur de l'Office de gestion du personnel, prendra des mesures pour mettre fin, dans la mesure permise par la loi, à tous les bureaux et postes de ""justice environnementale"", DEI, DEIA, ainsi qu'à tous les ""plans d'action pour l'équité"", actions, initiatives ou programmes liés à l'équité.
Pour informer et conseiller le Président, l'Assistant du Président pour la politique intérieure organisera une réunion mensuelle avec le Directeur du Bureau de la gestion et du budget, le Directeur de l'Office de gestion du personnel et chaque chef adjoint d'agence ou de département pour discuter des coûts économiques et sociaux des programmes DEI, DEIA et de ""justice environnementale"".",Etat fédéral
14152,Holding Former Government Officials Accountable for Election Interference and Improper Disclosure of Sensitive Governmental Information,2025-01-20,2025-01-29,90 FR 8343,https://www.federalregister.gov/documents/2025/01/29/2025-01954/holding-former-government-officials-accountable-for-election-interference-and-improper-disclosure-of,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01954.pdf,2025-01954,no,0,no,0,Tenir les anciens fonctionnaires responsables de l'ingérence électorale et de la divulgation inappropriée d'informations gouvernementales sensibles,"L'ordre exécutif dirige la révocation des habilitations de sécurité actives ou en cours détenues par les anciens responsables du renseignement qui ont participé à une coordination politique trompeuse avec la campagne présidentielle de Biden en 2020 et John R. Bolton.
Il est établi comme politique des États-Unis que la communauté du renseignement ne doit pas être impliquée dans la politique partisane ou être utilisée par une campagne politique américaine à des fins électorales.
Il est également décidé que les informations classifiées ne doivent pas être divulguées publiquement dans les mémoires, en particulier celles publiées pour un gain monétaire personnel.",Sécurité nationale
14153,Unleashing Alaska's Extraordinary Resource Potential,2025-01-20,2025-01-29,90 FR 8347,https://www.federalregister.gov/documents/2025/01/29/2025-01955/unleashing-alaskas-extraordinary-resource-potential,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01955.pdf,2025-01955,no,0,no,0,Déchaîner le potentiel extraordinaire des ressources de l'Alaska,"La politique des États-Unis est de maximiser le développement et la production des ressources naturelles situées sur les terres fédérales et d'État en Alaska.
Les chefs de tous les départements et agences exécutifs sont chargés de prendre toutes les mesures nécessaires pour prioriser le développement du potentiel de gaz naturel liquéfié (GNL) de l'Alaska.
Le secrétaire à l'Intérieur est chargé de prendre toutes les mesures nécessaires pour révoquer l'ordre secrétaire 3401 daté du 1er juin 2021, qui concerne une analyse complète et une suspension temporaire de toutes les activités dans l'Arctic National Wildlife Refuge.",Energie
14154,Unleashing American Energy,2025-01-20,2025-01-29,90 FR 8353,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01956.pdf,2025-01956,no,0,no,0,Libération de l'énergie américaine,"La politique des États-Unis encourage l'exploration et la production d'énergie sur les terres et les eaux fédérales, y compris sur le plateau continental extérieur, pour répondre aux besoins des citoyens et renforcer la position des États-Unis en tant que leader mondial de l'énergie.
L'ordre exécutif vise à établir la position des États-Unis en tant que principal producteur et transformateur de minéraux non combustibles, y compris les minéraux de terres rares, afin de créer des emplois et de la prospérité, de renforcer les chaînes d'approvisionnement pour les États-Unis et ses alliés, et de réduire l'influence mondiale des États malveillants et adversaires.
L'ordre exécutif prévoit également de protéger la sécurité économique et nationale des États-Unis et la préparation militaire en garantissant qu'une offre abondante d'énergie fiable est facilement accessible dans chaque État et territoire de la nation.",Energie
14155,Withdrawing the United States From the World Health Organization,2025-01-20,2025-01-29,90 FR 8361,https://www.federalregister.gov/documents/2025/01/29/2025-01957/withdrawing-the-united-states-from-the-world-health-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01957.pdf,2025-01957,no,0,no,0,Retrait des États-Unis de l'Organisation Mondiale de la Santé,"Les États-Unis ont l'intention de se retirer de l'Organisation mondiale de la santé (OMS) en raison de sa gestion de la pandémie de COVID-19 et d'autres crises sanitaires mondiales.
L'Assistant du Président pour les Affaires de Sécurité Nationale établira des directions et des mécanismes de coordination au sein du Conseil de Sécurité Nationale pour protéger la santé publique et renforcer la biosécurité.
Le Secrétaire d'État et le Directeur du Bureau de Gestion et du Budget prendront des mesures pour suspendre le transfert futur de fonds du gouvernement américain à l'OMS, rappeler et réaffecter le personnel gouvernemental travaillant avec l'OMS, et identifier des partenaires américains et internationaux crédibles pour assumer les activités précédemment entreprises par l'OMS.",Sécurité nationale
14156,Declaring a National Energy Emergency,2025-01-20,2025-01-29,90 FR 8433,https://www.federalregister.gov/documents/2025/01/29/2025-02003/declaring-a-national-energy-emergency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02003.pdf,2025-02003,no,0,no,0,Déclaration d'une urgence énergétique nationale,"Le président déclare une urgence nationale en raison de l'insuffisance de l'approvisionnement et de l'infrastructure énergétiques du pays.
Les chefs de départements et agences exécutifs sont chargés d'identifier et d'exercer toute autorité d'urgence légale pour faciliter l'identification, la location, la production et le transport des ressources énergétiques domestiques.
L'ordre exécutif prévoit des mesures pour accélérer la réalisation de tous les projets d'infrastructure, d'énergie, d'environnement et de ressources naturelles autorisés et appropriés pour faciliter l'approvisionnement en énergie de la nation.",Energie
